"","IC1","IC2","IC3","IC4","IC5","IC6","IC7","IC8","IC9","IC10","IC11","IC12","IC13","IC14","IC15","IC16","IC17","IC18","IC19","IC20","IC21","IC22","IC23","IC24","IC25","IC26","IC27","IC28","IC29","IC30","IC31","IC32","IC33","IC34","IC35","IC36","IC37","IC38","IC39","IC40","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC52","IC53","IC54","IC55","IC56","IC57","IC58","IC59","IC60","IC61","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC70","IC71","IC72","IC73"
"HALLMARK_COMPLEMENT",-0.71165132326405,0.952011435552878,3.40487324206694,0.220689812342326,-0.291190259663714,3.83359445516456,-0.060496861532079,-0.122665086804936,2.86410293548191,-11.6094822840829,0.495486398807612,-0.414621528493152,-2.49488208806491,-0.189575523009821,-0.209652982734236,-0.82749124402733,3.15692832064908,0.145531016965491,0.59747298927507,0.0957622333602832,-0.648500033933766,-0.313973855601259,-0.0965340089906932,-1.91023393925353,1.08968671070608,-0.00625349695677788,0.0347980554456095,-0.0165591064602336,1.05690601888976,1.06743639555595,-0.612952268879771,-0.413411848396069,-0.0134252947213765,-0.101419829616991,0.531539548507553,0.215525986544047,-0.104539196024809,0.293020269554406,0.307243065638178,0.0943058412380503,0.406120710871361,0.202692664426583,0.1548142623042,0.013043837990333,-0.291035896508758,-1.01000133083907,0.40884097889766,-0.311324156853756,0.0362388675685703,0.00479514388598606,-0.186713070809002,0.506560082106059,-0.833949844416319,0.202029829223256,0.0968401664357008,0.37298905820279,-0.157540443220821,3.65066121260526,0.220541216720653,-0.396011851491939,-0.512298226916252,-0.0712121637299424,0.197512332190998,0.322225246096991,0.323207661571567,-0.872870237253862,1.8750270376478,0.022563136333851,2.90408701012785,0.0222497865559188,0.0450807571326751,0.0157459975270823,0.170821792628852
"HALLMARK_DNA_REPAIR",0.0818195108518355,-0.557404799512199,-1.08265908070627,0.152752881185659,-1.21965667255374,-2.66384347845382,0.312968725802348,0.00112882387113624,-2.88397148862139,-0.599852493152595,-0.211004614529761,2.33532758056876,-0.827461004914281,-0.744666488366151,-0.660441625754025,-3.00329371521441,-0.245761000700826,-1.5760092201444,0.816306126228246,-0.290064136160159,-0.0803318572867395,0.24503661927771,0.256092854134733,0.714503814413662,0.00812451874140816,-0.372418084657593,0.924652644038783,-0.00675684254601029,-0.559703044094282,0.251470496259325,0.104619342626234,-0.00881323692424721,1.02323942221409,-0.336721214805942,0.531539548507553,-0.0787371154286802,0.159992686330185,0.156795802673492,-0.749279607501648,-1.95905593197543,-2.5364107414624,-1.21212168267225,0.00993999611341048,0.0628021071497835,-1.77405118164124,-0.219926284651111,0.612837435348043,0.307949055539362,0.0806457963793231,0.00479514388598606,-0.290164269789685,-0.218190723195126,-0.224772583218287,-0.172776342003497,-0.139743252283679,0.681755135038428,0.651687466746234,-0.245174844475752,0.0443211408986866,0.183682159666538,0.0211195288420598,0.634507317638424,-0.973196056194556,0.691917632113351,0.163366945409189,0.220619666656759,-0.42721262235091,2.34500505416278,-1.14012993646372,-0.082291958231499,-3.75050081419682,0.0157459975270823,-0.339224521156369
"HALLMARK_E2F_TARGETS",0.272365945931584,2.12646315854856,-0.204505897205053,0.027240274804695,-1.97493078960954,-0.558392619365964,7.84317636480904e-05,1.51941778279756,-0.412763907387713,-0.0803301103006706,-1.21033587763527,88.9007065312362,-3.17597627629627,0.368186017886413,0.212735010252858,-0.367825488828522,-0.00581982977169738,-1.50013212201829,0.876452983936213,-0.240339485351129,-0.532590336974179,0.240548370299895,-1.0213939619606,0.462735161277663,0.00812451874140816,0.090669985764542,2.52287020271503,0.217932928302355,-0.379010069905317,-0.164495182984612,-0.483688381543405,0.413411848396069,-0.269442142213634,-0.353166495192517,0.308224075272582,-0.605778040760648,0.753871905611501,0.658364177641844,-0.307243065638178,-1.95847405079084,-2.38546703852529,-0.427127539346842,0.122098546475507,0.0925597432706414,0.311067446707368,2.12131724890037,0.749882194060883,1.16406414046703,0.671708293113183,-0.583662384969698,-1.62140497333006,-0.00745096734219506,2.56018211545691,-0.202029829223256,-1.00952235016274,-0.936075492165616,0.299557303253124,-1.62674693282782,0.655178269419259,0.62957934671139,-0.965786220843728,1.30167352538195,0.21342317744741,-1.17045922255496,0.178641201419971,0.268983005984325,-0.412672590628727,0.0147921793713644,-0.234155054472615,-0.0785217896748505,-3.75050081419682,-0.0369839943994878,0.25996236889642
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-33.0013922755309,-1.06363483058415,-1.71934108774878,-0.182819981996801,1.21965667255374,15.4519316616004,0.00486682441013178,-3.22453564556955,0.466352519349728,-0.141778162448324,-0.244235904379085,-0.232496528120085,0.558428284331034,39.7664585011434,0.549295399412868,-0.0371937935480627,2.24908128354047,1.05795653686528,0.68921083314671,2.06631225192372,0.104947851706236,0.0264111437406165,-3.36496520893956,-5.44988308617416,-4.53300501693183,-0.573407397691211,0.957276202419095,0.339058164406719,0.840409449489777,0.939638977451987,0.660918947026508,0.0108346143832388,0.474225248018503,-1.56473644410976,0.627398621970454,0.215525986544047,1.57195175925318,-0.293464186634276,-0.749279607501648,-0.0485365879965134,-1.29927013174131,-0.18085152038267,-1.13670943584329,0.369288966422449,-2.5556051162512,-2.38532071054727,-0.192234988760304,-0.138125945109466,-4.35129199385286,-0.583662384969698,0.625373796148394,-0.64912319560084,-4.63892212305393,-0.0336833394982778,0.123427169164315,0.922560017605705,-0.0224022073016601,0.323313736698293,-0.0883624439984523,1.830425152304,-0.0150684125578011,-0.0417715597962527,0.925022107968023,4.17380662550443,-1.35610105632404,-4.08160143125823,1.19277378653229,-1.05717128682721,1.65971057016883,0.537833544876988,0.0393779273814644,-0.0369839943994878,0.656945897136959
"HALLMARK_ESTROGEN_RESPONSE_EARLY",5.17700347343366,-5.38628220706669,-0.0935354378292831,0.843282014388433,-0.251770078585322,3.30662249225248,-0.776923553055702,0.23625853209287,0.892397565206304,4.84692601293595,1.95377871095606,-0.414621528493152,-0.352874028621463,1.44742487857073,-7.53978284784455,-0.31816722126421,-1.03812619289517,-0.159440710980599,0.816306126228246,1.39975390518237,0.668419092489741,-5.0185883947619,-1.73084314276028,-0.323456961145663,0.00812451874140816,-0.0351301351003173,-1.00147335354072,-2.83700643312438,0.0904901758082482,0.195428736687269,-2.64611792834931,0.00495933478814882,-0.629432912513863,-0.475412669171926,-0.531539548507553,-2.70264959787848,-0.725608564591505,-0.229434080777334,0.00240480631434876,0.0260084271232211,-0.658110177319322,1.21212168267225,-0.266330235776577,0.0840311708298132,-0.944723082532888,0.0801123203319883,1.82861122574155,-1.28887607481226,-0.412150916882079,0.0650372331490584,-0.479246823443555,0.506560082106059,-0.797372110901381,-1.50628968302034,-1.80535409538246,-0.0579220811804474,-1.35167830807423,0.0165036284285513,0.655178269419259,-0.425801976275662,2.52193013645095,-0.0712121637299424,1.55397120306168,1.17045922255496,-0.163366945409189,-3.4874486033284,0.0656473994288196,0.24239796924471,1.1281494733141,-0.0222497865559188,0.911446738359929,-0.103169350491006,-0.170821792628852
"HALLMARK_ESTROGEN_RESPONSE_LATE",3.06345960948713,-4.63225047830874,-0.0491396370035948,0.412491283600549,-0.398561349674767,0.558392619365964,-0.45130581821888,0.137034376859311,1.61646447577522,2.57055989018923,0.988911929889239,0.632512720097969,-0.700384939397844,1.07505915492589,-6.17587066535379,-1.53718537722053,-1.77759468583623,-0.159440710980599,0.141579015425064,1.21168319718115,0.56539188333043,-3.26038759314143,-0.479657285369503,-1.02089059818498,0.0346730002929582,-0.239902220248791,-3.29219545397263,-1.67079159476167,-0.412663586243178,0.13257584332951,-1.44235700755091,-0.170141600869526,-0.474225248018503,-0.0812518185377919,-0.531539548507553,-0.857504835169006,-0.422011974941974,-0.18681864646722,0.686212794611464,0.0943058412380503,-2.5364107414624,1.06200819040421,0.046767617890125,0.0562733691972231,0.274861994320979,0.0736804449025463,1.82150946280293,-1.16406414046703,-0.671708293113183,0.224194003459016,-0.0886378712638882,-0.00706288815278863,0.0851440976403309,-1.08285299421223,-0.680718097514335,2.60647898012655,-0.0224022073016601,-0.00469377292729886,1.05458354302154,-0.211866260601202,3.84375699781369,0.0191710252041847,0.898607710388554,0.699003942393706,-0.0918698014316676,-2.87902755462762,0.570342778083922,0.707290546124451,1.03585707912658,-0.0705729849445343,0.209468617061957,-0.0157459975270823,0.618261042778555
"HALLMARK_FATTY_ACID_METABOLISM",3.1480019789969,0.263781980023049,-1.00539641011379,-0.289939926397083,-0.0899525434227139,-1.27314965328691,-3.46769185981614,2.01690669498369,6.44300056608121,-0.379000475431195,-1.02896073916925,0.904340331067755,-9.50389693639988,-0.517900973892144,-0.0863927697279943,-0.050388025740245,-4.97541112938018,-1.93679265568827,-0.292032819729099,0.933333146428659,-0.164206392647948,-1.40944190923697,3.88088233877195,-3.28828631438049,0.096978539060671,-0.356922563157602,1.30679877354079,-0.339058164406719,0.163083066790946,-0.0569464225502561,-0.576059782232728,1.14382573249619,0.0134252947213765,0.116259109945715,-0.448592742409236,-0.194431072032411,-2.4389060818057,0.0280258469360685,0.117622901809818,0.452935921927504,-0.658110177319322,0.933265647333516,0.11276538389201,1.11024650602554,-0.461191559459824,-1.15905634233933,0.149227352380117,-2.4158430153595,-1.40256682345833,0.186894123173447,0.0999822745423931,0.64912319560084,0.214685210630258,-0.553597273543021,-0.221325694147122,0.963446322783917,2.07625303708807,-1.55407931455636,-0.254903231141174,0.030686536830593,0.0211195288420598,-0.411323591965908,-1.55397120306168,1.556905623431,-0.163366945409189,1.3945919328466,0.809620697642619,2.34500505416278,3.33585769270454,-0.804879538172097,0.205861423619669,-0.0157459975270823,0.25996236889642
"HALLMARK_G2M_CHECKPOINT",-0.272365945931584,0.924434543386268,0.729797868660894,0.267000784936555,-1.97493078960954,0.931232877275564,7.84317636480904e-05,-0.133222515161789,-1.14244912803911,0.929521038279304,-3.676290500952,51.1715520661328,-0.934025578987643,0.193312797807125,-0.073979796113932,-0.050388025740245,-0.121665401706835,-0.0491983706650236,0.51067268969593,-0.204312925762118,0.143131406083255,0.0018531854770913,-1.0213939619606,0.0576961896079405,0.00812451874140816,-0.0351301351003173,1.06103881883536,0.29705599831683,-0.142926549846618,-0.551920729317153,0.107612613599739,0.413411848396069,-0.474225248018503,0.117422841488087,0.0796333533951445,-0.857504835169006,0.104539196024809,1.18263160387781,0.00875137774831178,-2.44691378868914,-0.108562821433414,-0.427127539346842,0.314466152123939,0.0925597432706414,0.321358767623915,2.75183292878882,0.220311125308341,1.51244227372257,0.62178784787512,-0.583662384969698,-2.5009029727177,0.796424863785797,0.911825013426237,0.172776342003497,-0.140813354066152,-1.07454249526699,-0.299557303253124,0.245174844475752,0.655178269419259,0.0758369085085767,-0.0183815092448917,0.173169162428039,4.80780637077351,-0.128497614652452,0.323207661571567,-0.0292699135461516,0.164999642066695,-0.332316088581096,-0.00374728947933239,0.00540164550591055,-0.514061922300583,0.0157459975270823,0.1057173461711
"HALLMARK_GLYCOLYSIS",-0.0818195108518355,0.744359202167528,-0.641476542483897,0.412491283600549,0.189508505286636,0.931232877275564,2.54163750784605,0.28156906711189,4.13496021451383,12.479755186909,-4.7755758623019,-0.0818466698835372,-5.71447723892041,0.217668171295694,0.0173706987891579,-0.050388025740245,-0.993741516914946,-0.760802299237518,0.539675183299098,0.662927715050699,0.0704990000038238,-1.53717303353745,-0.781411046082896,-2.56213702195163,-3.57913802524417,-0.216745487572221,-0.0347980554456095,-0.339058164406719,-0.379283176125095,0.0440646515073586,-3.54256767075541,-0.246123733209098,0.396675404891847,-0.353166495192517,0.109101374036711,0.215525986544047,-2.85798723599258,0.426235966756496,-0.307243065638178,0.336866100220886,0.0111289776855916,1.02274154692324,-0.494714606404374,0.013043837990333,-1.03142707354847,-2.15058281606416,-1.76658027965518,-0.06478649851701,-0.713977781065045,0.00479514388598606,2.2307442458873,0.218190723195126,0.00278126368356176,-1.60941110147469,2.0774023502305,0.936075492165616,0.299557303253124,-0.692635839104101,3.88611804917048,-0.030020643553327,0.965786220843728,-1.11880892125754,0.414839634500434,0.710314064285113,-0.186799883593745,-0.473998430511031,0.374582830161754,2.34500505416278,0.754479500011681,-0.683326705713029,1.81752471105447,-0.0369839943994878,-0.0202397199547108
"HALLMARK_HEDGEHOG_SIGNALING",-0.435411806170113,-0.952011435552878,-0.26782852877749,-0.130274568346088,-0.169339973006288,-1.00767767418858,-0.92203505660657,0.173668476870853,1.12332486570987,-0.223861161441163,0.35913891130561,0.232496528120085,-0.934025578987643,2.40127812827311,-0.0958424534574275,-0.0371937935480627,0.156826189823643,0.182209110495245,0.0882981196878785,0.115652512584336,-0.143131406083255,0.0018531854770913,-0.952788971342483,1.03580035902429,-0.0435967541648095,-0.372418084657593,-0.0881178391328293,-0.0561707586592434,-0.657139096777972,-0.0440646515073586,-0.907307790940901,-0.0123159621572951,0.240891035571403,-0.665069731972135,-2.08622328821097,0.537690527311295,0.0469587769460622,0.624512285879096,0.307243065638178,0.173131486837688,-0.108562821433414,-0.0493764471088627,-0.494714606404374,0.0840311708298132,-0.654100025614958,-0.0173189571663034,-1.04852807131341,-1.82476953109866,0.453909140587679,-0.547944407768161,0.685583431413057,0.04562576246369,-0.437931828754452,-0.202029829223256,-0.287281887117495,0.313684269420168,-0.437773262263644,0.721212383431119,0.38190378914345,0.183682159666538,-0.0211195288420598,0.0191710252041847,0.814739204098618,0.00351719975583293,0.163366945409189,-0.894742766407022,0.318221103312652,-1.02900025606247,-0.399827344372498,-0.258803580193748,0.239530347413411,0.293605177109939,0.170821792628852
